EA_ID,Seed_Point_ID,Ph,SSC,Ca,Mg,NH4,NO3,NO2,TON,PO4,Zn
1940214,1,7.79,21.37,60.82,11.12,0.24,2.64,0.08,2.73,0.34,50
1941025,2,7.79,33.52,75.45,17.52,4.46,3.24,0.11,3.35,0.99,20.51
1941017,3,8.55,11.69,58.54,20.5,0.25,0.83,0.02,0.84,0.07,35.23
1941007,4,7.71,34.06,96.83,46.33,0.24,3.65,0.07,3.73,0.21,74.26
1941002,5,8.08,70.81,141.98,85.85,0.4,4.47,0.05,4.52,0.14,20.16
1941003,6,8.12,34,174.49,86.27,0.21,2.69,0.06,2.75,0.15,18.27
1940998,7,7.89,28.11,89.34,26.38,1.74,4.82,0.15,4.97,0.42,22.21
1940995,8,7.85,19.18,84.7,31.2,0.33,2.26,0.07,2.33,0.11,30.45
1940967,9,7.66,21.17,61.55,9.6,0.12,1.72,0.03,1.75,0.08,13.01
1940958,10,7.9,14.55,90.38,17.58,0.3,5.6,0.09,5.69,0.31,14.5
1940888,11,7.61,30.65,56.71,13.5,0.57,2.26,0.07,2.3,0.6,18.64
1940887,12,7.68,58.2,83.75,17.76,0.29,3.03,0.07,3.1,0.34,12.54
1940885,13,7.42,17.36,53.09,15.87,0.21,1.9,0.03,1.94,0.15,21.55
1940884,14,7.27,50.55,136.69,71.25,1.25,1.43,0.04,1.46,0.14,35
1940883,15,7,20.06,92.74,32.99,0.72,2.46,0.04,2.5,0.09,33.93
1940880,16,7.6,21.57,54.22,10.99,0.89,1.63,0.07,1.71,0.24,17.54
1940628,17,7.77,10.07,59.76,12.21,0.52,9.46,0.17,9.64,1.14,49.4
1940541,18,7.62,16.83,34.72,10.88,0.1,1.21,0.03,1.23,0.06,6.02
1940544,19,7.4,5.8,8.74,4.15,0.04,0.9,0.01,0.9,0.03,6.91
1940537,20,8.12,20.31,36.79,6.94,0.19,3.14,0.05,3.19,0.42,13.97
1940516,21,7.73,20.01,28.99,7.07,0.08,1.93,0.02,1.95,0.07,6.07
1940514,22,7.39,15.52,12.79,5.34,0.04,1.31,0.01,1.32,0.04,8.63
1940495,23,6.75,6.44,5.23,2.71,0.07,0.7,0.01,0.7,0.03,25.13
1940501,24,7.23,28.42,11.17,3.79,0.06,0.97,0.02,0.99,0.07,10.35
1942440,25,6.6,8.63,6.11,3.63,0.03,0.67,0.01,0.66,0.03,7.5
1940605,26,7.9,19.52,56.46,11.65,0.14,1.74,0.04,1.78,0.11,13.14
1940594,27,7.31,10.22,20.48,5.26,0.08,0.86,0.01,0.87,0.03,17.63
1940589,28,7.24,9,10.02,3.82,0.04,0.97,0.01,0.98,0.04,23.09
1940581,29,7.03,6.27,13.97,3.36,0.06,0.65,0.01,0.65,0.1,11.65
1940569,30,7.4,9.4,13.78,4.38,0.05,0.98,0.01,0.99,0.07,10.07
1940843,31,7.86,31.46,63.07,16.96,0.72,3.89,0.14,4.07,1.07,20.86
1940821,32,7.81,32.68,112.29,19.73,2.62,2.72,0.21,2.93,0.32,39.2
1940820,33,7.6,25.01,52.21,9.86,1.91,6.8,0.29,7.05,1.71,59.17
1940779,34,7.86,12.23,61.43,9.51,0.12,1.55,0.04,1.6,0.09,17.6
1940773,35,7.7,9.69,43.41,6.23,0.2,1.53,0.04,1.56,0.12,14.63
1940759,36,7.62,7.02,22.93,4.5,0.05,1.31,0.02,1.33,0.05,7.38
1940751,37,7.66,11.76,24.73,3.89,0.08,1.02,0.02,1.03,0.1,10.7
1940754,38,7.78,14.6,34.34,6.62,0.08,1.22,0.02,1.24,0.07,6.95
1940689,39,7.57,12.45,37.41,7.69,0.08,1.87,0.03,1.9,0.06,15.7
1940685,40,7.7,15.6,27.62,5.24,0.11,1.1,0.02,1.11,0.06,10.87
1940680,41,7.53,15.27,14.48,4.66,0.1,0.92,0.02,0.93,0.06,13.05
1940675,42,7.42,8.82,11.2,2.64,0.07,1.21,0.01,1.22,0.05,9.51
1940674,43,7.33,7.17,7.97,2.6,0.06,0.81,0.01,0.8,0.04,7.39
1940672,44,7.58,12.3,28.39,4.84,0.09,1.47,0.02,1.5,0.08,16.42
1940673,45,7.46,5.13,18.19,5.79,0.05,0.7,0.01,0.69,0.03,9.91
1940666,46,7.59,14.32,16.1,3.55,0.08,0.68,0.01,0.66,0.05,9.43
1940663,47,7.92,12.87,34.87,10.46,0.06,0.9,0.01,0.9,0.04,13.01
1942528,48,7.01,16.75,35.46,9.57,0.29,0.94,0.01,0.94,0.04,42.26
1940732,49,7.45,9.74,22.99,4.28,0.08,2.13,0.01,2.15,0.08,11.3
1940711,50,7.55,10.35,34.93,7.88,0.07,1.26,0.02,1.27,0.07,25.18
1940704,51,6.86,8.99,19.05,7.06,0.06,0.58,0.01,0.55,0.03,25.63
1940700,52,7.02,5.87,7.19,3.35,0.05,0.62,0.01,0.61,0.03,15.86
1940739,53,7.4,7.25,4.18,2.49,0.08,0.58,0.01,0.55,0.04,29.33
1940892,54,7.98,14.2,52.71,12.92,0.06,1.41,0.02,1.42,0.16,14.02
1940895,55,7.87,13.83,116.4,15.25,0.21,2.01,0.06,2.06,0.42,36.71
1940948,56,7.52,20.74,69.37,15.69,0.79,7.93,0.16,8.09,0.69,15.07
1940918,57,7.73,29.97,59.61,15.8,0.25,3.19,0.06,3.26,0.3,8.87
1940908,58,7.7,17.22,33.46,5.38,0.08,2.64,0.03,2.68,0.09,21.4
1940913,59,7.71,6.88,22.2,6.88,0.09,2.39,0.02,2.42,0.18,9.7
1940916,60,7.53,10.66,31.76,9.7,0.13,3.64,0.03,3.67,0.07,11.57
1940942,61,7.57,10.53,41.83,6.64,0.16,1,0.02,1.01,0.11,12.46
1940936,62,7.95,31.85,67.59,16.21,0.15,4.36,0.06,4.43,0.66,12.01
1940940,63,8.01,36.81,89.43,18.7,0.28,3.64,0.06,3.71,0.29,9.79
1940485,64,8.18,26.78,34.5,18.68,5.57,0.81,0.07,0.89,0.05,37.12
1940244,65,7.91,23.36,75.23,14.37,0.19,4.12,0.07,4.19,0.23,30.45
1940412,66,7.87,13.74,73.96,19.18,0.16,9.15,0.07,9.22,0.66,8.75
1940397,67,7.96,16.72,91.08,21.97,0.21,6.22,0.08,6.31,0.2,12.03
1940402,68,7.68,18.67,73.53,14.03,0.32,10.5,0.13,10.63,0.15,10.81
1940392,69,7.95,15.66,71.37,16.97,0.2,6.28,0.06,6.34,0.13,9.74
